names,max,min,mean,median
x,0.893371045589447,0.6722443699836731,0.7926184489964619,0.8165948390960693
y,1.2956745624542236,0.2464624196290969,0.6926178243971363,0.6573271751403809
z,0.8238301277160645,-3.1636669635772705,-0.4408525665805921,-0.4451163113117218
